@relation EpidemicML
@attribute prophet_probability numeric
@attribute buffer_occupency numeric
@attribute successful_deliveries numeric
@attribute success_ratio numeric
@attribute from_speed numeric
@attribute to_speed numeric
@attribute distance_to_end numeric
@attribute distance_from_source numeric
@attribute message_live_time numeric
@attribute from_energy numeric
@attribute to_energy numeric
@attribute current_hop_count numeric
@attribute is_succesfully_delivered {0,1}
@data

0.889526275,63955,68,1,7.146563693,9.862635842,1564.511447,2058.278178,6637,132329,133317,5,1
0.829821433,227029,3,0,0.781099973,1.048499314,1172.848901,647.430079,2698.1,168134.7,167131.8,2,0
1,161239,381,0.333333333,0.705237057,8.450946055,687.2914293,619.7368082,12864.8,115422.7,117538.4,10,0
0.275734034,483887,4,0.25,0.771112657,0.52802579,1818.920191,0,3412.1,40526.5,40680.2,10,0
0.886466647,587864,4,0,0.736012949,3.804639954,540.1384122,1066.525334,5372,8280.300001,7971.900002,5,0
0.96971804,296131,0,0.5,0.526970537,0.506008192,946.3147257,973.6165924,4617,149527.3,149042.4,9,0
0.873954458,18985,0,0.5,12.27117974,1.047976053,1500.085175,433.5187078,4253.1,143698.7,143773.3,9,0
0.797100664,450750,2,0.714285714,11.19231969,1.022345923,747.9728574,1171.059545,3330.7,120079.7,120369.5,7,0
0.865696294,555839,325,1,7.86751129,8.182363543,1632.419154,1170.204449,2707.8,111245.3,112466.2,4,1
0.792236033,94892,0,0,5.426311998,3.053583954,2245.525546,1389.336255,3150.1,102468.1,101451.8,1,0
1,132882,0,0,11.0528225,0.771304752,0,883.157489,1271.5,90078.4,91368.5,4,1
0.835138426,421634,5,0.25,3.981344654,4.780127953,879.8707191,1321.058516,12406.5,33100.1,32351,7,0
0.680917349,607140,7,1,1.166632441,0.680181194,2148.984095,1518.170154,3599.6,133680.1,133852.6,7,1
0.543131304,649818,4,1,0.747178394,0.502528596,2389.796498,304.5474304,2064.3,99012.3,98411.3,2,1
0.929926636,551080,114,1,7.614626165,7.146563693,1400.920575,174.2545834,9876.7,133190.2,132192.7,8,1
0.713619853,475752,1,0.785714286,6.740802173,0.52825292,1280.731353,450.2285163,13946,95740.8,94458.7,2,0
0.873396328,444577,1,0.25,11.91142287,10.46755859,1330.409376,587.4757001,11130,10040.3,6260.900001,6,0
0.916240833,154972,6,0.6,7.980488446,7.514081728,184.4256082,0,224.7,123632.2,122356.7,1,1
0.713575129,190277,0,0.5,9.99510987,1.253379167,841.5852288,982.0733111,14821.9,113239.3,113812.2,11,0
0.931420902,344727,3,0.7,0.92736747,4.392594677,2563.097025,1374.070002,9886.9,41605.9,44415.4,13,0
0,2664397,0,0,9.808707023,1.408664377,1027.225798,0,531.5,176963.7,176946.9,1,0
0.94475349,250177,0,0,0.923550781,8.610092497,617.6437171,1434.59448,4066.2,95502.7,91510.1,3,1
0.790551165,475991,3,1,4.270412369,2.897046224,1991.130709,834.6641172,1978.6,149394.6,148992,6,1
0.788136018,465409,0,0,3.069439488,1.307893478,1058.439453,0,1504,68665,67921.9,1,1
0.969689942,546888,2,1,7.937892227,0.735612372,1602.820502,1121.379617,6655.8,131371.1,132542.5,6,0
1,7647671,49,0.803278689,7.242011809,9.373982179,0,1109.747329,4450,29942.4,32041,6,1
0.577630088,175236,1,1,1.19277994,0.60627049,1433.901551,0,600.8,135881.3,136581.8,1,1
0.420479228,463153,1,0.714285714,0.572933245,0.525516187,2528.02059,9.851391507,4564.5,18152.5,20303,7,0
1,137318,0,0,8.389242042,1.068262304,0,169.2410945,3941.1,136023.1,137791.5,3,1
